label,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
P1,0.0,1.41,6.4,7.28,6.32,9.85,2.0,8.06,4.47,4.47
P2,1.41,0.0,6.71,6.71,7.07,9.43,1.41,7.28,5.1,4.24
P3,6.4,6.71,0.0,4.24,2.24,5.1,5.39,5.66,2.24,3.0
P4,7.28,6.71,4.24,0.0,6.4,2.83,5.39,1.41,5.39,3.0
P5,6.32,7.07,2.24,6.4,0.0,7.28,6.0,7.81,2.0,4.47
P6,9.85,9.43,5.1,2.83,7.28,0.0,8.06,3.16,7.0,5.39
P7,2.0,1.41,5.39,5.39,6.0,8.06,0.0,6.08,4.0,2.83
P8,8.06,7.28,5.66,1.41,7.81,3.16,6.08,0.0,6.71,4.12
P9,4.47,5.1,2.24,5.39,2.0,7.0,4.0,6.71,0.0,2.83
P10,4.47,4.24,3.0,3.0,4.47,5.39,2.83,4.12,2.83,0.0
